,user_id,test_group,total_spend,total_wins_spend
1828,242988853,C,7.98,7.98
1833,248041272,C,8.371912780998317,8.371912780998317
1837,249841954,P,0.99,0.99
1838,249027024,C,12.950000000000001,12.950000000000001
1842,295203541,C,75.50453486619182,75.50453486619182
1847,291618380,C,478.7500000000001,478.7500000000001
1855,293806351,P,66.82000000000001,66.82000000000001
1857,250145722,C,29.53370022841072,29.53370022841072
1860,290979020,C,19.950000000000003,19.950000000000003
1868,242375183,C,35.81999999999999,35.81999999999999
1874,244945672,C,466.8500000000001,466.8500000000001
1875,243517662,P,27.829190610591446,27.829190610591446
1877,248679172,C,3.9800000000000004,3.9800000000000004
1879,290732050,P,60.900000000000006,60.900000000000006
1885,247873232,C,5.906570640823656,5.906570640823656
1893,247354842,P,25.96,25.96
1899,242233842,C,21.312697537029827,21.312697537029827
1902,239591802,C,5.98,5.98
1916,289123181,C,69.85,69.85
1922,251465863,C,6.970000000000001,6.970000000000001
1926,242324394,P,2.99,2.99
1933,288265581,C,49.79,49.79
1935,247012874,P,24.629198728368387,24.629198728368387
1936,291054360,P,11.411074887419243,11.411074887419243
1938,288373120,P,144.88,144.88
1959,288227150,P,15.09093815817365,15.09093815817365
1968,247149224,C,1.2053253465310374,1.2053253465310374
1991,241230563,C,17.578776151319232,17.578776151319232
1997,298380761,C,3.0176554560014415,3.0176554560014415
1999,289108680,C,1.0008974713993548,1.0008974713993548
2002,245856943,C,17.96,17.96
2005,242031012,C,59.83,59.83
2026,248354814,P,12.98,12.98
2046,246547523,C,2.8949477327285513,2.8949477327285513
2070,243009453,C,0.8775283222265998,0.8775283222265998
2075,245971502,C,388.7300000000001,388.7300000000001
2081,172064360,C,0.99,0.99
2091,298025051,P,22.950000000000003,22.950000000000003
2108,291014031,C,39.98,39.98
2110,292823871,C,8.990150199903315,8.990150199903315
2123,292105350,P,42.84,42.84
2134,252211503,P,9.49120298857708,9.49120298857708
2144,290400190,P,112.83,112.83
2156,296625890,C,2.99,2.99
2166,242195504,C,10.89,10.89
2182,249528923,C,4.526578750763594,4.526578750763594
2186,242749624,C,12.93,12.93
2202,245558864,C,1.99,1.99
2205,250740523,C,1.98,1.98
2206,78038534,C,9.562279674810176,9.562279674810176
2220,245632602,P,0.99,0.99
2237,240384752,C,12.92,12.92
2280,250106552,P,10.98,10.98
2287,291742530,P,29.87,29.87
2296,293937201,C,3.98,3.98
2304,242307604,C,196.7,196.7
2307,243751994,C,112.932414837071,112.932414837071
2313,288824711,C,34.9,34.9
2327,290860100,C,13.186519988771174,13.186519988771174
2330,244207882,C,4.99,4.99
2337,243363972,C,175.67124304682918,175.67124304682918
2340,243915294,P,32.599286383602184,32.599286383602184
2352,244613763,C,61.788683999990454,61.788683999990454
2362,252433263,C,7.98,7.98
2373,247767932,C,0.99,0.99
2384,294761890,C,138.86831090887353,138.86831090887353
2388,296174451,C,4.970000000000001,4.970000000000001
2399,243361972,P,16.957323397329517,16.957323397329517
2404,251408854,P,1.9117900089854132,1.9117900089854132
2405,252904763,P,2.99,2.99
2410,294017211,P,2.99,2.99
2419,294709660,P,62.800000000000004,62.800000000000004
2424,240314852,C,26.041576077734366,26.041576077734366
2431,289834721,P,50.910000000000004,50.910000000000004
2437,248693433,C,24.93,24.93
2444,241565134,C,20.92,20.92
2450,293275370,C,275.4,274.1787343925462
2451,294117261,P,0.99,0.99
2455,242930153,P,71.44085390543134,71.44085390543134
2478,243766144,C,4.99,4.99
2505,293791020,P,34.89,34.89
2507,291843041,C,2.99,2.99
2508,287712121,C,14.770408629312461,14.770408629312461
2509,245450892,C,101.68999999999998,101.68999999999998
2514,247284972,C,162.73907712582388,162.73907712582388
2521,197812000,P,2.963663751864202,2.963663751864202
2530,293036251,C,11.96,11.96
2533,295207241,C,33.128965244412456,33.128965244412456
2534,290675770,P,3.343027109041421,3.343027109041421
2540,242641444,C,9.99,9.99
2545,242710484,C,49.94,49.94
2546,240614622,P,26.96,26.96
2569,244763703,P,4.99,4.99
2586,248495762,C,30.541528359711258,30.541528359711258
2593,242467334,P,0.99,0.99
2612,248613703,C,1.0797919652602181,1.0797919652602181
2618,295392561,C,4.713639384185088,4.713639384185088
2648,244839352,C,14.930000000000001,14.930000000000001
2651,288827801,C,11.97,11.97
2675,246620314,C,295.36,295.36
2676,300889911,C,3.1758970585900075,3.1758970585900075
2698,183659300,C,5.95,5.95
2703,294079160,P,17.97,17.97
2722,249455134,C,3.367376145609426,3.367376145609426
2729,131484042,C,26.167187618506308,26.167187618506308
2751,288783570,C,2.99,2.99
2761,293616761,C,0.99,0.99
2771,119103913,C,6.98,6.98
2789,248091223,C,2.9699999999999998,2.9699999999999998
2791,245894543,C,9.99,9.99
2849,242209703,C,3.98,3.98
2852,241780403,C,34.741387619834704,34.741387619834704
